ID,SMILES,PriceMol,tPSA,RotB,LogP,MW,HBD,HBA,MR,HvyAtm,Atoms,Rings,CAtm,HetAtm
A35C141S,CC(C)=CC1=N/C(=C\c2cc(Br)c(O)c(Br)c2)C(=O)S1,184.81472,74.96000000000001,2,4.896200000000002,417.12200000000007,1,4,90.94780000000002,20,20,2,14,6
A83C141S,CC(C)=CC1=N/C(=C\c2cc(C)c(O)c(C)c2)C(=O)S1,180.70073,74.96000000000001,2,3.9880400000000025,287.38399999999996,1,4,85.02180000000003,20,20,2,16,4
A113C141S,CC(C)=CC1=N/C(=C\c2cc(C)ccc2O)C(=O)S1,122.76731999999998,74.96000000000001,2,3.679620000000002,273.35699999999997,1,4,80.28480000000003,19,19,2,15,4
A67C141S,CC(C)=CC1=N/C(=C\c2ccc(C)c(C)c2)C(=O)S1,117.7757,54.730000000000004,2,4.282440000000004,271.385,0,3,83.35700000000004,19,19,2,16,3
A34C141S,CC(C)=CC1=N/C(=C\c2cccc(C(F)(F)F)c2)C(=O)S1,136.14947999999998,54.730000000000004,2,4.684400000000002,311.32800000000003,0,3,78.88500000000002,21,21,2,15,6
A29C141S,CC(C)=CC1=N/C(=C\c2cccs2)C(=O)S1,133.43938999999995,82.97,2,3.727100000000002,249.36,0,4,71.76000000000003,16,16,2,12,4
A34C77S,CN(C)CC1=N/C(=C\c2cccc(C(F)(F)F)c2)C(=O)S1,161.24915,57.97,3,3.2798000000000025,314.332,0,4,78.00800000000002,21,21,2,14,7
A36C77S,CN(C)CC1=N/C(=C\c2cccc(Oc3ccccc3)c2)C(=O)S1,172.33515,67.2,5,4.053300000000003,338.4320000000001,0,5,99.52200000000005,24,24,3,19,5
A29C77S,CN(C)CC1=N/C(=C\c2cccs2)C(=O)S1,158.53905999999995,86.21,3,2.3225000000000007,252.364,0,5,70.88300000000002,16,16,2,11,5
A31C141S,COC(=O)c1ccc(/C=C2\N=C(C=C(C)C)SC2=O)cc1,131.56742,81.03,3,3.452200000000002,301.367,0,5,85.22250000000001,21,21,2,16,5
A31C77S,COC(=O)c1ccc(/C=C2\N=C(CN(C)C)SC2=O)cc1,156.66708999999997,84.27000000000001,4,2.0476,304.37100000000004,0,6,84.34550000000002,21,21,2,15,6
A31C362S,COC(=O)c1ccc(/C=C2\N=C(c3cc(F)cc(F)c3)SC2=O)cc1,161.40303999999998,81.03,3,3.8125000000000018,359.35300000000007,0,5,91.25150000000001,25,25,3,18,7
A31C177S,COC(=O)c1ccc(/C=C2\N=C(c3cc(O)nc4ccccc34)SC2=O)cc1,197.1239,114.15,3,3.788100000000002,390.4200000000001,1,7,108.3013,28,28,4,21,7
A31C127S,COC(=O)c1ccc(/C=C2\N=C(c3ccc(C)s3)SC2=O)cc1,186.46069,109.26999999999998,3,3.9042200000000022,343.42900000000003,0,6,93.94950000000001,23,23,3,17,6
A31C1S,COC(=O)c1ccc(/C=C2\N=C(c3ccc(Cl)cc3OC)SC2=O)cc1,186.27436,90.25999999999999,4,4.196300000000003,387.8440000000001,0,6,102.89750000000002,26,26,3,19,7
A31C561S,COC(=O)c1ccc(/C=C2\N=C(c3ccc(F)cc3Br)SC2=O)cc1,186.25774,81.03,3,4.435900000000002,420.25900000000007,0,5,98.99350000000001,25,25,3,18,7
A31C502S,COC(=O)c1ccc(/C=C2\N=C(c3ccc(F)cc3C(F)(F)F)SC2=O)cc1,197.89299999999997,81.03,3,4.692200000000002,409.36,0,5,96.2955,28,28,3,19,9
A97C141S,COc1cc(/C=C2\N=C(C=C(C)C)SC2=O)cc(OC)c1,132.49478,73.19,4,3.682800000000002,303.38300000000004,0,5,86.98700000000004,21,21,2,16,5
A97C77S,COc1cc(/C=C2\N=C(CN(C)C)SC2=O)cc(OC)c1,157.59445,76.42999999999999,5,2.2782,306.38700000000006,0,6,86.11000000000004,21,21,2,15,6
A97C362S,COc1cc(/C=C2\N=C(c3cc(F)cc(F)c3)SC2=O)cc(OC)c1,162.3304,73.19,4,4.043100000000003,361.3690000000001,0,5,93.016,25,25,3,18,7
A97C177S,COc1cc(/C=C2\N=C(c3cc(O)nc4ccccc34)SC2=O)cc(OC)c1,198.05126,106.31000000000002,4,4.018700000000003,392.43600000000015,1,7,110.06580000000002,28,28,4,21,7
A97C127S,COc1cc(/C=C2\N=C(c3ccc(C)s3)SC2=O)cc(OC)c1,187.38805000000002,101.42999999999999,4,4.134820000000003,345.4450000000001,0,6,95.71400000000003,23,23,3,17,6
A97C1S,COc1cc(/C=C2\N=C(c3ccc(Cl)cc3OC)SC2=O)cc(OC)c1,187.20172000000002,82.42,5,4.426900000000003,389.8600000000001,0,6,104.66200000000003,26,26,3,19,7
A97C561S,COc1cc(/C=C2\N=C(c3ccc(F)cc3Br)SC2=O)cc(OC)c1,187.1851,73.19,4,4.666500000000003,422.27500000000015,0,5,100.75800000000001,25,25,3,18,7
A97C502S,COc1cc(/C=C2\N=C(c3ccc(F)cc3C(F)(F)F)SC2=O)cc(OC)c1,198.82036,73.19,4,4.922800000000002,411.3760000000001,0,5,98.06,28,28,3,19,9
A113C1S,COc1cc(Cl)ccc1C1=N/C(=C\c2cc(C)ccc2O)C(=O)S1,177.47426000000002,84.19,3,4.423720000000003,359.83400000000006,1,5,97.95980000000002,24,24,3,18,6
A29C1S,COc1cc(Cl)ccc1C1=N/C(=C\c2cccs2)C(=O)S1,188.14632999999998,92.2,3,4.471200000000002,335.83700000000005,0,5,89.43500000000002,21,21,3,15,6
A67C77S,Cc1ccc(/C=C2\N=C(CN(C)C)SC2=O)cc1C,142.87536999999998,57.97,3,2.8778400000000017,274.389,0,4,82.48000000000003,19,19,2,15,4
A67C362S,Cc1ccc(/C=C2\N=C(c3cc(F)cc(F)c3)SC2=O)cc1C,147.61131999999998,54.73,2,4.642740000000003,329.3710000000001,0,3,89.38600000000002,23,23,3,18,5
A67C177S,Cc1ccc(/C=C2\N=C(c3cc(O)nc4ccccc34)SC2=O)cc1C,183.33218,87.85,2,4.6183400000000026,360.43800000000016,1,5,106.43580000000003,26,26,4,21,5
A67C204S,Cc1ccc(/C=C2\N=C(c3ccc(Cl)c(S(N)(=O)=O)c3)SC2=O)cc1C,180.11996,123.27000000000001,3,3.6653400000000014,406.91600000000017,1,5,105.85320000000002,26,26,3,18,8
A67C127S,Cc1ccc(C2=N/C(=C\c3ccc(C)c(C)c3)C(=O)S2)s1,172.66897,82.97,2,4.734460000000003,313.447,0,4,92.08400000000003,21,21,3,17,4
A29C127S,Cc1ccc(C2=N/C(=C\c3cccs3)C(=O)S2)s1,188.33265999999998,111.21,2,4.179120000000001,291.422,0,5,80.48700000000002,18,18,3,13,5
A113C77S,Cc1ccc(O)c(/C=C2\N=C(CN(C)C)SC2=O)c1,147.86699,78.20000000000002,3,2.2750200000000005,276.361,1,5,79.40780000000002,19,19,2,14,5
A113C373S,Cc1ccc(O)c(/C=C2\N=C(Cc3cccc(Cl)c3)SC2=O)c1,194.42404999999997,74.96000000000001,3,4.609520000000002,343.83500000000004,1,4,96.00980000000003,23,23,3,18,5
A113C362S,Cc1ccc(O)c(/C=C2\N=C(c3cc(F)cc(F)c3)SC2=O)c1,152.60294,74.96000000000001,2,4.039920000000001,331.343,1,4,86.31380000000001,23,23,3,17,6
A113C177S,Cc1ccc(O)c(/C=C2\N=C(c3cc(O)nc4ccccc34)SC2=O)c1,188.3238,108.08000000000001,2,4.015520000000001,362.4100000000001,2,6,103.3636,26,26,4,20,6
A113C127S,Cc1ccc(O)c(/C=C2\N=C(c3ccc(C)s3)SC2=O)c1,177.66059,103.19999999999999,2,4.131640000000002,315.41900000000004,1,5,89.01180000000002,21,21,3,16,5
A113C561S,Cc1ccc(O)c(/C=C2\N=C(c3ccc(F)cc3Br)SC2=O)c1,177.45764,74.96000000000001,2,4.663320000000002,392.249,1,4,94.0558,23,23,3,17,6
A113C502S,Cc1ccc(O)c(/C=C2\N=C(c3ccc(F)cc3C(F)(F)F)SC2=O)c1,189.0929,74.96000000000001,2,4.919620000000002,381.35,1,4,91.35780000000001,26,26,3,18,8
A34C204S,NS(=O)(=O)c1cc(C2=N/C(=C\c3cccc(C(F)(F)F)c3)C(=O)S2)ccc1Cl,198.49374,123.27,3,4.067300000000002,446.85900000000004,1,5,101.38119999999999,28,28,3,17,11
A29C362S,O=C1SC(c2cc(F)cc(F)c2)=N/C1=C\c1cccs1,163.27500999999998,82.97,2,4.0874000000000015,307.346,0,4,77.78900000000002,20,20,3,14,6
A29C177S,O=C1SC(c2cc(O)nc3ccccc23)=N/C1=C\c1cccs1,198.99587,116.09,2,4.0630000000000015,338.413,1,6,94.8388,23,23,4,17,6
A29C561S,O=C1SC(c2ccc(F)cc2Br)=N/C1=C\c1cccs1,188.12971,82.97,2,4.710800000000002,368.252,0,4,85.531,20,20,3,14,6
A29C502S,O=C1SC(c2ccc(F)cc2C(F)(F)F)=N/C1=C\c1cccs1,199.76497,82.97,2,4.967100000000003,357.353,0,4,82.833,23,23,3,15,8
